text,volume,competition_level,competition_index,low_bid,high_bid,trend
structure of distributed database in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
structure of pl sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
structure of relational database in dbms,70,LOW,2,0.0,0.0,0.52
structure of relational model in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
structure of sql queries in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
structured and unstructured data in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
structured data in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
structured data types in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
sub queries in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
sub schema in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
super key database,390,LOW,0,0.0,0.0,-0.76
super key dbms,390,LOW,0,0.0,0.0,-0.76
super key in dbms with example,10,LOW,0,0.0,0.0,0.0
surrogate key in dbms,90,LOW,0,0.0,0.0,-0.59
sybase dbms,70,LOW,7,3.35,8.25,13.96
system structure of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
table creation in dbms,110,LOW,4,2.35,8.319999,0.79
temporal database concepts in dbms,10,LOW,0,0.0,0.0,0.0
temporal database in dbms,10,LOW,0,0.0,0.0,0.0
ternary relationship in dbms,40,LOW,0,0.0,0.0,5.32
tertiary storage in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
the data model in dbms,10,LOW,0,0.0,0.0,0.0
the database management system,10,MEDIUM,57,0.0,0.0,0.0
the dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
the dbms is the software that interacts with the,10,UNSPECIFIED,0,0.0,0.0,0.0
the dbms that is most difficult to use is,10,UNSPECIFIED,0,0.0,0.0,0.0
the most popular commercial dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
the most popular commercial dbms is,0,UNSPECIFIED,0,0.0,0.0,0.0
the most popular dbms model is,0,UNSPECIFIED,0,0.0,0.0,0.0
the most popular dbms model is are,0,UNSPECIFIED,0,0.0,0.0,-0.0
the most popular navigational dbms system is,10,LOW,0,0.0,0.0,9.09
the most popular navigational dbms system is are,10,LOW,0,0.0,0.0,0.0
the relational model of rdbms is concerned with,10,UNSPECIFIED,0,0.0,0.0,0.0
three architecture of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
three layer architecture of dbms,10,LOW,4,0.0,0.0,0.0
three popular dbms software,10,UNSPECIFIED,0,0.0,0.0,0.0
three popular dbms software are,10,UNSPECIFIED,0,0.0,0.0,0.0
three schema architecture in dbms,20,LOW,0,0.0,0.0,9.6
time series dbms,10,LOW,5,0.0,0.0,0.0
top dbms,140,LOW,10,2.64,10.85,-3.46
top dbms software,50,LOW,32,4.05,21.34,0.84
traditional file processing system in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
tutorialspoint dbms,40,LOW,1,0.0,0.0,0.93
two advantages of dbms,10,LOW,0,0.0,0.0,9.09
two dbms software,10,UNSPECIFIED,0,0.0,0.0,0.0
two examples of database management system,10,UNSPECIFIED,0,0.0,0.0,0.0
two examples of database software,10,UNSPECIFIED,0,0.0,0.0,-9.09
two examples of dbms software,0,UNSPECIFIED,0,0.0,0.0,0.0
type of dbms software,90,LOW,3,2.27,7.39,5.22
types of architecture in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
types of database model in dbms,10,LOW,0,0.0,0.0,4.55
types of database recovery in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
types of database security in dbms,10,LOW,24,4.98,10.55,25.76
types of database software,90,LOW,3,2.27,7.39,5.22
types of dba in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
types of dbms in sql,10,LOW,0,0.0,0.0,0.0
types of dbms includes,0,UNSPECIFIED,0,0.0,0.0,0.0
types of dbms languages,30,LOW,1,0.0,0.0,6.06
types of dbms with examples,10,LOW,0,0.0,0.0,0.0
types of er model in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
types of key in dbms,260,LOW,1,0.0,0.0,-3.08
types of model in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
types of no sql database,10,LOW,0,0.0,0.0,4.55
types of normalization in dbms,110,LOW,1,0.0,0.0,-1.07
types of normalization in dbms with examples,10,LOW,0,0.0,0.0,9.09
types of queries in dbms,50,LOW,4,0.0,0.0,1.99
types of recovery in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
types of relational model in dbms,10,LOW,29,0.0,0.0,0.0
types of security in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
types of sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
unary relationship in dbms,20,LOW,0,0.0,0.0,12.12
uncommitted data in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
unique key in dbms,50,LOW,1,0.0,0.0,5.42
university er diagram in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
use of normalization in dbms,10,LOW,0,0.0,0.0,0.0
use of sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
uses of database software,10,MEDIUM,43,0.0,0.0,4.55
various types of dbms,10,LOW,0,0.0,0.0,0.0
various view of data in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
view in rdbms,210,LOW,1,0.0,0.0,1.64
view in sql dbms,10,LOW,0,0.0,0.0,0.0
view management in distributed dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
view of data in dbms,10,LOW,4,0.0,0.0,4.55
view of data in dbms with example,10,UNSPECIFIED,0,0.0,0.0,0.0
view of data in rdbms,0,UNSPECIFIED,0,0.0,0.0,0.0
view schema in dbms,10,LOW,0,0.0,0.0,9.09
w3 dbms,10,LOW,0,0.0,0.0,0.0
w3 schools dbms,70,LOW,1,0.0,0.0,4.39
w3schools dbms queries,10,UNSPECIFIED,0,0.0,0.0,0.0
warehouse in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
web database in dbms tutorialspoint,10,UNSPECIFIED,0,0.0,0.0,0.0
working of dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
write about dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
write advantages of dbms,0,UNSPECIFIED,0,0.0,0.0,-0.0
write ahead logging in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
write application of dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
write the advantages of dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
write two examples of dbms software,10,UNSPECIFIED,0,0.0,0.0,0.0
xml database in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
xml dbms,110,LOW,2,0.0,0.0,-2.63
